ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : Ûéú ̄ÖμÖÖ ‡®ÖÛêú †®Öã ̄Öæ ̧üÛú  ̄ÖÏ¿®Ö ÛúÖ ˆ¢Ö ̧ü ¤üß×•Ö‹...	श्री उपसभाषति : देखिए।...(व्यवधान)...कुछ भी अभिलिखित नहीं होगा। यह नहीं
‡ÃÖ ÃÖ ́ÖÃμÖÖ ÃÖê ×®Ö ̄ÖTMü®Öê Ûêú ×»Ö‹ Ûãú”û †Öî ̧ü “Öß•Öë ×3⁄4ÖÛú×ÃÖŸÖ Ûúß Æïü... »Öê×Ûú®Ö,  ́ÖÖ®Ö®ÖßμÖ	प्रोतल्साहन सहित, पत्तियों वाली चाय के लिए 3 रुपए प्रति किलोग्राम और चूर्ण वाली चाय
ÃÖ¤üÃμÖ ®Öê •ÖÖê ÃÖãôÖÖ3⁄4Ö ×¤ü‹, 3⁄4Öê †“”êû ÃÖãôÖÖ3⁄4Ö Æïü...  ́Öï Ûêú3⁄4Ö»Ö μÖÆüß ÛúÆü®ÖÖ “ÖÖÆæÓüÝÖÖ ×Ûú μÖê  ̄ÖÆü»Öê	के लिए 2 रुपए प्रति किलोग्राम की राजसहायता सम्मिलित है। इस प्रकार, प्रभावकारी
ÃÖê Æüß ®Öß×ŸÖ Ûúß ×ÆüÃÃÖÖ Æïü... †Öî ̧ü, μÖ×¤ü 3ÖÖ ̧üŸÖ ÃÖ ̧üÛúÖ ̧ü «üÖ ̧üÖ † ̄Ö®ÖÖ‡Ô ÝÖ‡Ô ®Öß×ŸÖ  ̄Ö ̧ü “Ö“ÖÖÔ	उत्पादन को भी प्रोत्साहित किया जाता है। इसकी स्थापना अतिरिक्त उत्पाद शुल्क से की
ÆüÖêŸÖß Æîü ŸÖÖê ‡®Ö “Öß•ÖÖë ÛúÖê 3Ö»Öß-3ÖÖÓ×ŸÖ Ã ̄ÖÂTMü ×ÛúμÖÖ •ÖÖ ÃÖÛúŸÖÖ Æîü...	गई है जिसको वास्तव में बाद में वापस ले लिया गया था। लेकिन जिस निधि को
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : †2Ö, ÁÖß †2Öæ †Ö×ÃÖ ́Ö †Ö•Ö ́Öß... Ûéú ̄ÖμÖÖ ÃÖß¬Öê-ÃÖß¬Öê  ̄ÖÏ¿®Ö Ûú ̧ëü...	अतिरिक्त उत्पाद शुल्क से एकत्र किया गया है, उसको मंजूरी दे दी गई है और उसको
†ÁÖß †2Öæ †Ö×ÃÖ ́Ö †Ö•Ö ́Öß : ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ  ́ÖÆüÖê¤üμÖ,  ́Öï †Ö ̄ÖÛêú  ́ÖÖ¬μÖ ́Ö ÃÖê × ́Ö×®ÖÃTMü ̧ü	आरम्भ कर दिया गया है। आवेदन प्राप्त हुए हैं। मोटे तौर पर लगभग 7.76 करोड
ÃÖÖÆü2Ö ÃÖê •ÖÖ®Ö®ÖÖ “ÖÖÆüŸÖÖ ÆæÓü ×Ûú ŒμÖÖ ÆüÖ‡ÔÛúÖêTMÔü Ûêú × ̧üTMüÖμÖ›Ôü •Ö•Ö  ́ÖÖ®Ö®ÖßμÖ •ÖÝÖ®®ÖÖ£Ö ÃÖêšüß	रुपए संवितरित किए गए हैं। अत:, वैश्विक रूचि जोकि परम्परागत चाय के प्रति अधिक
†  ́ÖÖ®Ö®ÖßμÖ ÃÖ¤üÃμÖ «üÖ ̧üÖ ‰ú¤æÔü  ́Öë ×¤üμÖÖ ÝÖμÖÖ 3ÖÖÂÖÞÖ  ́Öæ»Ö ÃÖÓÃÛú ̧üÞÖ  ́Öë ˆ ̄Ö»Ö2¬Ö Æîü...	है - जहां परम्परागत चाय और सी.टी.सी. चाय को एक ही माना जाता है - बदलने
ÁÖß ‹ÃÖ.‹ÃÖ. †Æü»Öã3⁄4ÖÖ×»ÖμÖÖ : ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ  ́ÖÆüÖê¤üμÖ, †Ö ̄ÖÛêú  ́ÖÖ¬μÖ ́Ö ÃÖê † ̄Ö®Öê ÃÖ3⁄4ÖÖ»Ö	वाली है। इस प्रकार, परम्परागत चाय के उत्पादन को प्रोत्साहित किया जा रहा है।
Ûêú 'Ûú' 3ÖÖÝÖ Ûêú oþ ̄Ö  ́Öë ‡ÃÖ ÃÖ3⁄4ÖÖ»Ö ÛúÖ •ÖÖê ˆ¢Ö ̧ü †ÖμÖÖ Æîü, ˆÃÖ 2ÖÖ ̧êü  ́Öë †Öî ̧ü 'ÜÖ' 3ÖÖÝÖ	श्री संतोष बागडोदिया : सहोदय, मेरा दूसरा अनुपूरक प्रश्न यह है। मुझे पक्का
Ûêú oþ ̄Ö  ́Öë •ÖÖê ‡®ÆüÖë®Öê 2ÖÖ ̧ü-2ÖÖ ̧ü ÛúÆüÖ ×Ûú 3⁄4ÖÆüÖÓ Ûêú ×®Ö¤êü¿ÖÛú μÖÖ ÃÖÖ‡Ó×TMüÃTMü † ̄Ö®Öê Ûîú ́ ̄ÖÃÖ  ́Öë	विश्वास है कि साननीय मंत्री महोदय यह जानते हैं कि दक्षिणी भारत में अनेक चाय
̄Öã×»ÖÃÖ ÛúÖê ®ÖÆüà ¤êüÜÖ®ÖÖ “ÖÖÆüŸÖê, ‡ÃÖÛêú 2ÖÖ ̧êü  ́Öë  ̄Öæ”û®ÖÖ “ÖÖÆæÓüÝÖÖ...	बगानों त्याज्य हो गये हैं क्यंकि भारतीय चाय उद्योग में भारतीय चाय की उत्पादन-लागत
́ÖÆüÖê¤üμÖ, ŒμÖÖ ‡ÓTMêü×»Ö•ÖëÃÖ ×›ü ̄ÖÖTMÔü ́ÖëTMü ÛúÖê ‡ÃÖ ‡ÓTMü ̧ü®Öê¿Ö®Ö»Ö ÛúÖÓ±ÏëúÃÖ  ́Öë ×3⁄4Ö×3Ö®®Ö ¤êü¿ÖÖë	दुनिया में सबसे अधिक है। यदि ऐसा है तो भारतीय चाय को और अधिक प्रतिस्पर्धी
ÃÖê »ÖÖêÝÖ †Ö  ̧üÆêü Æïü, ‡ÃÖÛêú 2ÖÖ ̧êü  ́Öë ÃÖæ“Ö®ÖÖ £Öß †Öî ̧ü ˆÃÖ  ̄Ö ̧ü †TMîüÛú ÆüÖêÝÖÖ, ŒμÖÖ ‡ÃÖÛúß 3Öß	चाय की नीलामी या बिक्री मान्यताप्राप्त नीलामी केन्द्रों के माध्यम से नहीं की जाती, तब
ÛúÖê‡Ô ÃÖæ“Ö®ÖÖ £Öß? †ÝÖ ̧ü £Öß ŸÖÖê  ̄»Öê®Ö Œ»ÖÖò£•Ö  ́Öë 3⁄4ÖÆüÖÓ  ̄Ö ̧ü ×ÃÖŒμÖã× ̧üTMüß ÝÖÖ›ËüÃÖÔ, ‹®Ö.‹ÃÖ.•Öß.	तक कोई अनुदान प्राप्त नहीँ हो सकता। यू.एन.सी.टी.ए.डी. ने अपनी रिपोर्ट में स्पष्ट
Ûêú •Ö3⁄4ÖÖ®ÖÖë μÖÖ Ûú ́ÖÖÓ›üÖê•Ö ÛúÖê ŒμÖÖë ®ÖÆüà 3Öê•ÖÖ ÝÖμÖÖ?	रूप से कहा है कि कीनिया और भारत में गुणवत्तापूर्ण नीलामी प्रणालियां हैं। अत: या
́ÖÆüÖê¤üμÖ,  ́Öï †Ö ̄ÖÛêú ¬μÖÖ®Ö  ́Öë μÖÆü 3Öß »ÖÖ®ÖÖ “ÖÖÆüŸÖÖ ÆæÓü ×Ûú ‡ÃÖ  ̄ÖÏ¿®Ö ÛúÖ •Ö3⁄4ÖÖ2Ö •ÖÖê	तो इस खण्ड को कि 80 प्रतिशत नीलामी के माध्यम से बेची जानी चाहिए, हटा देना
×Æü®¤üß  ́Öë †ÖμÖÖ Æîü, μÖÆü 2ÖÆãüŸÖ † ̄Ö ́ÖÖ®Ö•Ö®ÖÛú Æîü... ÝÖéÆü  ́ÖÓ¡Öß  ́ÖÆüÖê¤üμÖ  ̧üÖÂTMÒü3ÖÖÂÖÖ Ûêú †ÃÖ»Öß	चाहिए या इसकी कमियों को संशोधित किया जाना चाहिए। इसलिए, माननीय मंत्री जी
́ÖÖ×»ÖÛú 3Öß Æïü, ˆ®Æüà Ûêú ŸÖŸ3⁄4ÖÖ¬ÖÖ®Ö  ́Öë  ̧üÖÂTMÒü3ÖÖÂÖÖ ÃÖÖ ̧êü  ̧üÖÂTMÒü  ́Öë “Ö»ÖŸÖß Æîü †Öî ̧ü †ÝÖ ̧ü †Ö ̄Ö	से मेरा प्रश्न है कि : क्या ये हमारी नीलामी प्रणाली में व्याप्त कमियों को सुधारने के
¤êüÜÖë ŸÖÖê ‡ÃÖ •Ö3⁄4ÖÖ2Ö Ûúß  ̄ÖÏ×ŸÖ×»Ö× ̄Ö  ̄ÖœÍüß ®ÖÆüà •ÖÖ ÃÖÛúŸÖß... ÃÖ3⁄4ÖÖ»Ö Ûêú •Ö3⁄4ÖÖ2Ö ÛúÖ •ÖÖê ‹Ûú	लिए कोई कार्रवाई करने वाले हैं?
“ÖÖî£ÖÖß ×ÆüÃÃÖÖ Æîü, 3⁄4ÖÆü ÛúTMü ÝÖμÖÖ Æîü, ÛúTMüÖ Æãü†Ö Æîü... μÖÆü  ̧üÖÂTMÒü3ÖÖÂÖÖ ÛúÖ ‘ÖÖê ̧ü † ̄Ö ́ÖÖ®Ö Æîü	श्री कमल नाथ : महोदय, माननीय सदस्य जो कह रहे हैं, वह मैं समझ रहा हूं
†Öî ̧ü  ́Öï ˆ ́ ́Öß¤ü Ûú ̧üŸÖÖ ÆæÓü ×Ûú ÃÖ¤ü®Ö ‡ÃÖÛúÖ ÃÖÓóÖÖ®Ö »ÖêÝÖÖ,  ́ÖÓ¡Öß  ́ÖÆüÖê¤üμÖ 3Öß ‡ÃÖÛúÖ ÃÖÓóÖÖ®Ö	कि नीलामी अपने आप में गलत चीज नहीं है। शायद, कुछ सुधार या संशोधन हैं
»ÖëÝÖê...	जिनको ये नीलामी प्रणाली में लाने का सुझाव दे रहे हैं। और मुझे माननीय सदस्य को
ÁÖß ×¿Ö3⁄4Ö ̧üÖ•Ö 3⁄4Öß.  ̄ÖÖ×TMü»Ö :  ́ÖÆüÖê¤üμÖ,  ́Öï®Öê  ̄ÖÆü»Öê Æüß 2ÖŸÖÖ ×¤üμÖÖ ×Ûú Ûêú®¦ü ÃÖ ̧üÛúÖ ̧ü Ûúß	अवश्य ही यह कहना चाहिए - उन्होंने उल्लेख किया कि परम्परागत चाय दक्षिणी भारत
†Öê ̧ü ÃÖê  ̧üÖ•μÖ ÃÖ ̧üÛúÖ ̧üÖë ÛúÖê, ‹Ûú  ̄ÖÏÖ®ŸÖ Ûúß ®ÖÆüà 2Ö×»Ûú †®ÖêÛú  ̄ÖÏÖ®ŸÖÖë Ûúß ÃÖ ̧üÛúÖ ̧üÖë ÛúÖê,	में उपजायी जाती है - कि परम्परागत चाय मुख्यत: दार्जिलिंग में उपजायी जाती है,
μÖÆü  ̄ÖÆü»Öê Æüß 2ÖŸÖÖμÖÖ ÝÖμÖÖ ×Ûú μÖê »ÖÖêÝÖ, •ÖÖê ÆüÖ¤üÃÖê Ûú ̧ü®ÖÖ “ÖÖÆüŸÖê Æïü, ÛúÆüÖÓ  ̄Ö ̧ü  ̄ÖÆãÓü“Ö®ÖÖ	दक्षिणी भारत में नहीं। अभी हम लोग समस्त नीलामियों के लिए ई-नीलामी प्लेटफार्म पर
“ÖÖÆüŸÖê Æïü †Öî ̧ü ×ÛúÃÖÛúÖê †TMîüÛú Ûú ̧ü®ÖÖ “ÖÖÆüŸÖê Æïü... †Ö‡Ô.TMüß. ‡Ó›üÃTMÒüß ÆîÓü, ®Öê¿Ö®Ö»Ö »Öî2ÖÖê ̧êüTMÒüß•Ö	काम कर रहे हैं। और, यदि माननीय सदस्य के पास नीलामी प्रणाली को संशोधित करने
Æïü, ¤æüÃÖ ̧êü •ÖÖê ‡ÓÃTMüÖ»Öê¿ÖÓÃÖ Æïü, ˆ®Ö  ̄Ö ̧ü Ûú ̧ü®ÖÖ “ÖÖÆüŸÖê Æïü, μÖÆü ˆ®ÖÛúÖê 2ÖŸÖÖμÖÖ ÝÖμÖÖ £ÖÖ... μÖÆüÖÓ	या सरल बनाने या सुधारने का कोई सुझाव हो तो हमें उनको जानकर प्रसन्नता होगी।
̄Ö ̧ü •ÖÖê ‡ÓTMêü×»Ö•ÖëÃÖ †ÖŸÖÖ Æîü, ˆÃÖÛúÖê £ÖÖê›ÍüÖ ÃÖÖ ¬μÖÖ®Ö  ́Öë »ÖÖ®ÖÖ •Öoþ ̧üß Æîü... •ÖÖê  ̄»ÖÖ®Ö Æîü,	श्री तारिणी कांत राय : महोदय, मंत्री महोदय ने कहा कि भारत में अधिकतर
ˆÃÖÛúÖ ‡ÓTMêü×»Ö•ÖëÃÖ Æü ́ÖÖ ̧êü  ̄ÖÖÃÖ £ÖÖ, ÛúÆü ×¤üμÖÖ,  ́ÖÝÖ ̧ü ×ÛúÃÖ •ÖÝÖÆü  ̄Ö ̧ü ÆüÖê  ̧üÆüÖ Æîü, Ûú2Ö ÆüÖê®Öê	चाय विनिर्माता सी.टी.सी. चाय के हैं जबकि अंतर्राष्ट्रीय रूप से, परम्परागत चाय को
3⁄4ÖÖ»ÖÖ Æîü, ×•ÖÃÖÛúÖê Æü ́Ö ‹Œ¿Ö®Öê2Ö»Ö ‡ÓTMêü×»Ö•ÖëÃÖ ÛúÆüŸÖê Æïü, 3⁄4ÖÆü Æü ́Öê¿ÖÖ Ûêú ×»Ö‹ Æü ́Öë  ̄ÖÏÖ ̄ŸÖ	लगातार वरीयता दी जा रही है। यह सही है। लेकिन, महोदय, मैं यह जानना चाहता
ÆüÖêŸÖÖ Æüß Æîü, ‹êÃÖÖ ®ÖÆüà Æîü... •Ö2Ö  ̄ÖÏÖ ̄ŸÖ ÆüÖêŸÖÖ Æîü ŸÖÖê ¤êüŸÖê Æïü †Öî ̧ü ˆ®ÖÛúÖê  ̧üÖêÛú®Öê  ́Öë ÛúÖê‡Ô	हूं कि क्या अंतर्राष्ट्रीय बाजार में सी.टी.सी. चाय के उपभोग में कमी आ रही है या
×¤üŒÛúŸÖ ®ÖÆüà ÆüÖêŸÖß Æîü...  ́ÖÝÖ ̧ü, μÖê •ÖÖê ÆüÖ¤üÃÖê Ûú ̧ü®Öê 3⁄4ÖÖ»Öê »ÖÖêÝÖ ÆüÖêŸÖê Æîü, ˆ®ÖÛúß ŸÖÖÛúŸÖ	नहीं। साथ ही साथ, यह जानना बहुत कठिन है कि कीनिया और श्रीलंका किस प्रकार
‡ÃÖß  ́Öë Æîü ×Ûú ×ÛúÃÖ ÃÖ ́ÖμÖ μÖÆü Ûú ̧ü®ÖÖ Æîü †Öî ̧ü ÛúÆüÖÓ  ̄Ö ̧ü Ûú ̧ü®ÖÖ Æîü, 3⁄4Öê † ̄Ö®Öê ŸÖ ̧üßÛêú ÃÖê	दुनिया में अपनी निर्यात-हिस्सेदारी बढा रहे हैं लेकिन हमारी वैश्विक हिस्सेदारी कम हो
ŸÖμÖ Ûú ̧üÛêú Ûú ̧üŸÖê Æïü †Öî ̧ü ‡ÃÖß  ́Öë  ́Öã×¿Ûú»Ö ÆüÖê •ÖÖŸÖß Æîü... μÖÆüÖÓ  ̄Ö ̧ü •ÖÖê »ÖÖêÝÖ †Ö®Öê 3⁄4ÖÖ»Öê	रही है। इसलिए, मैं माननीय मंत्री जी से जानना चाहता हूं...(व्यवधान)...
£Öê, ˆ®ÖÛúÖê  ́ÖÖ»Öæ ́Ö £ÖÖ ×Ûú 2ÖÖÆü ̧ü Ûêú »ÖÖêÝÖ †Ö®Öê 3⁄4ÖÖ»Öê Æïü †Öî ̧ü †ÖŸÖê  ̧üÆüŸÖê Æïü,  ́ÖÝÖ ̧ü	श्री उपसभाषति : प्रत्येक व्यक्ति को बुलाना सम्भव नहीं है ।...(व्यवधान)...अन्य
•Ö2Ö ÃÖÖ‡ÓÃÖ ‡Ó×ÃTMüTMËüμÖæ¿ÖÓÃÖ μÖÖ μÖæ×®Ö3⁄4ÖÙÃÖTMüß Ûêú »ÖÖêÝÖ Ûîú ́ ̄ÖÃÖ  ́Öë ×ÛúÃÖß ÛúÖê †Ö®Öê ®ÖÆüà ¤êü®ÖÖ	प्रश्नों के लिए समय नहीं बचेगा।...(व्यवधान)...हम केवल सीमित अनुपूरक प्रश्न ही ले
“ÖÖÆüŸÖê, 3⁄4Öê ®ÖÆüà “ÖÖÆüŸÖê Æïü ×Ûú »ÖÖêÝÖÖë ÛúÖê ÃÖ2Ö  ́ÖÖ»Öæ ́Ö ÆüÖê •ÖÖ‹ ×Ûú μÖÆü ŒμÖÖ ÆüÖê  ̧üÆüÖ Æîü,	सकते हैं, सबको नहीं।
̄Öã×»ÖÃÖ ŒμÖÖë Æîü, Æü ́ÖÖ ̧êü ‰ú ̄Ö ̧ü ÃÖß.†Ö‡Ô.›üß. 3⁄4ÖÖ»Öê ŒμÖÖ Ûú ̧ü  ̧üÆêü Æïü, μÖÆü ®Ö ÆüÖê, ‡ÃÖ×»Ö‹ μÖÆü	श्री तारिणी कांत राय : भारत में हमारा उत्पादन बढ रहा है जबकि चाय के क्षेत्र
ÃÖ2Ö ÆüÖêŸÖÖ Æîü...	में हमारी वैश्विक हिस्सेदारी कम हो रही है ।
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : ¤êü×ÜÖ‹......(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...Ûãú”û 3Öß †×3Ö×»Ö×ÜÖŸÖ ®ÖÆüà ÆüÖêÝÖÖ... μÖÆü ®ÖÆüà	श्री कमल नाथ : महोदय, मैं केवल इसी बात की पुष्टि कर सकता हूं जो सदस्य
•ÖÖ‹ÝÖÖ......(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...‹êÃÖÖ ®ÖÆüà Æîü, μÖÆü Œ3⁄4Öî¿“Ö®Ö †Ö3⁄4Ö ̧ü Æîü......(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)... ̄»Öß•Ö, μÖÆü Œ3⁄4Öî¿“Ö®Ö	महोदय कह रहे हैं कि हमारी हिस्सेदारी में कमी आ रही है। जैसाकि मैंने कहा कि
†Ö3⁄4Ö ̧ü Æîü...	यह 50 के दशक में 50 प्रतिशत था और यह विश्व उत्पादन का लगभग 12 प्रतिशत
ÁÖß 2ÖÃÖÓŸÖ “Ö3⁄4ÆüÖÞÖ :  ́ÖÆüÖê¤üμÖ,  ́ÖÖ®Ö®ÖßμÖ  ́ÖÓ¡Öß ®Öê ˆ¢Ö ̧ü  ́Öë ˆ»»ÖêÜÖ ×ÛúμÖÖ Æîü ×Ûú	रह गया है। हमारे उत्पादन के केवल 12 प्रतिशत का निर्यात किया जाता है। यहि वह
ÃÖ ̧üÛúÖ ̧ü ®Öê ŸÖTMüßμÖ ÝÖ¿ŸÖ †Öî ̧ü ×®ÖÝÖ ̧üÖ®Öß ÛúÖê ÃÖã¥üœÍü Ûú ̧ü®Öê Ûêú ×»Ö‹ ŸÖTMüßμÖ ÃÖã ̧üõÖÖ μÖÖê•Ö®ÖÖ ÛúÖê	विचारणीय बिन्दु है जिसका जिस पर हमें सोचना है कि हम इसको कैसे बढाया जाये।
́ÖÓ•Öæ ̧üß ¤üß Æîü...  ́ÖÆüÖê¤üμÖ, †Ö ̄ÖÛêú  ́ÖÖ¬μÖ ́Ö ÃÖê,  ́Öï  ́ÖÖ®Ö®ÖßμÖ  ́ÖÓ¡Öß •Öß ÃÖê μÖÆü •ÖÖ®Ö®ÖÖ “ÖÖÆæÓüÝÖÖ ×Ûú	की अगुवाई में जुडिशियल कमेटी, जो कि 1997 के भङडकल के कम्युनल दंगों में 17
ŒμÖÖ  ́ÖÆüÖ ̧üÖÂTMÒü Ûêú ŸÖTMüßμÖ õÖê¡Ö †Öî ̧ü ÛúÖëÛúÞÖ ŸÖTMüßμÖ õÖê¡Ö 3Öß ×®ÖÝÖ ̧üÖ®Öß †Öî ̧ü ÃÖã ̧üõÖÖ  ́Öë ¿ÖÖ× ́Ö»Ö	लोग मारे गए थे,...
Æïü ŒμÖÖë×Ûú 2ÖÖò ́2Öê ÃÖê Æüß ¤ü×õÖÞÖ ÛúÖê Æü×£ÖμÖÖ ̧üÖë, ÝÖÖê»ÖÖ-2ÖÖoþ¤ü ŸÖ£ÖÖ ×3⁄4ÖÃ±úÖêTMüÛúÖë Ûúß †Ö ̄ÖæÙŸÖ	श्री उपसभाषति : आजमी साहब, आप यह इंस्टीट्यूट ऑफ साईंस के बारे में
ÆüÖêŸÖß Æîü... ÃÖÖ£Ö Æüß, †®ÖêÛúÖ®ÖêÛú ×3⁄4Ö¤êü¿Öß ×3⁄4Ö¿ÖêÂÖóÖÖë Ûêú 2ÖÆãüŸÖê ̧üß ®ÖμÖß μÖÖê•Ö®ÖÖ†Öë ÃÖ×ÆüŸÖ  ̄Ö¤üÖ ̄ÖÞÖÔ	क्वैश्चन पूछिए। प्रश्न को प्रासंगिक होना चाहिए।
Ûú ̧ü®Öê Ûêú  ̄Ö× ̧üÞÖÖ ́ÖÃ3⁄4Öoþ ̄Ö  ́ÖÆüÖ ̧üÖÂTMÒü †Ö‡Ô.TMüß. ×ÃÖTMüß Ûêú oþ ̄Ö  ́Öë ŸÖê•Öß ÃÖê ˆ3Ö ̧ü  ̧üÆüÖ Æîü...	श्री अबू आसिम आजमी : सर, मैं सीधा प्रश्न यह पूचना चाहता हूं कि जस्टिस
‡ÃÖ×»Ö‹,  ́Öê ̧üÖ  ̄ÖÏ¿®Ö μÖÆü Æîü ×Ûú ŒμÖÖ Ûêú®¦ü ÃÖ ̧üÛúÖ ̧ü ®Öê ‡ÃÖ ́Öë  ́Öã ́2Ö‡Ô †Öî ̧ü ÛúÖëÛúÞÖ Ûêú ŸÖTMüßμÖ	सेठी की कमेटी ने कोई ऐसी रिपोर्ट दी थी कि कर्नाटक में आई.एस.आई. का जाल
õÖê¡ÖÖë ÛúÖê 3Öß ¿ÖÖ× ́Ö»Ö ×ÛúμÖÖ Æîü...	फैल रहा है? यदि दी थी, तो सरकार ने उस पर क्या कुछ कदम उठाया? दूसरा, मैं
ÁÖß ×¿Ö3⁄4Ö ̧üÖ•Ö 3⁄4Öß.  ̄ÖÖ×TMü»Ö :  ́ÖÆüÖê¤üμÖ, ˆ¢Ö ̧ü Æîü 'ÆüÖÓ...' ÝÖã•Ö ̧üÖŸÖ,  ́ÖÆüÖ ̧üÖÂTMÒü, ÝÖÖê3⁄4ÖÖ,	यह पूछना चाहता हूं कि दिसंबर, 2005 के लास्ट वीक में इंडियन इंस्टीट्यूट ऑफ
ÛúÞÖÖÔTMüÛú, Ûêú ̧ü»Ö, ŸÖ× ́Ö»Ö®ÖÖ›ãü, †Ö®¬ÖÐ  ̄ÖÏ¤êü¿Ö, ˆ›ÍüßÃÖÖ,  ̄Ö×¿“Ö ́Öß 2ÖÓÝÖÖ»Ö †Öî ̧ü  ̄ÖÖÓ×›ü“Öê ̧üß ÛúÖê	साइईंस, बंगलौर के कैम्पस में आतंकवादी हमला हुआ था, उसमें कितने लोग मारे गए
ŸÖTMüßμÖ ÃÖã ̧üõÖÖ ÛúÖê ×3⁄4ÖÛú×ÃÖŸÖ Ûú ̧ü®Öê Ûêú ×»Ö‹ Ûêú®¦ü ÃÖ ̧üÛúÖ ̧ü ÃÖê ÃÖÆüÖμÖŸÖÖ × ́Ö»ÖêÝÖß... ÝÖã•Ö ̧üÖŸÖ 3⁄4ÖÆü	थे? और, क्या यह सच है कि इंटेलीजेन्स से कर्नाटक सरकार को पहले यह रिपोर्ट
̧üÖ•μÖ Æîü ×•ÖÃÖÛúÖê ÃÖ2ÖÃÖê †×¬ÖÛú ¬Ö®Ö ̧üÖ×¿Ö × ́Ö»ÖŸÖß  ̧üÆêüÝÖß, †Öî ̧ü ×±ú ̧ü, Ûú®ÖÖÔTMüÛú †Öî ̧ü ŸÖ× ́Ö»Ö®ÖÖ›ãü	मिली थी कि वहां ऐसा कुछ हमला होने वाला है? अगर मिली थी, तो उस पर सरकार
3⁄4Öê  ̧üÖ•μÖ ÆüÖëÝÖê ×•Ö®ÖÛúÖê  ̄ÖÏ“Öã ̧ü ¬Ö®Ö ̧üÖ×¿Ö  ̄ÖÏÖ ̄ŸÖ ÆüÖêÝÖß... Æü ́ÖÖ ̧êü  ̄ÖÖÃÖ 3⁄4Öê ÃÖ3Öß 2μÖÖî ̧êü Æïü ×Ûú ×ÛúŸÖ®Öê	ने कोई कदम उठाया था या नहीं उठाया था?
̄Öã×»ÖÃÖ ÃTMêü¿Ö®Ö Ã£ÖÖ× ̄ÖŸÖ ×Ûú‹ •ÖÖ‹ÓÝÖê, ˆ®ÖÛúÖê ×ÛúŸÖ®Öß ®ÖÖîÛúÖ‹Ó ¤üß •ÖÖ‹ÓÝÖß, †Öî ̧ü, ˆ®ÖÛúÖê ×ÛúÃÖ	श्री शिवराज वी. पाटिल : श्रीमन, मैने पहले ही कह दिया है कि ये जो बाहर से
̄ÖÏÛúÖ ̧ü Ûúß ÃÖÆüÖμÖŸÖÖ ¤üß •ÖÖ‹ÝÖß... ‡ÃÖ μÖÖê•Ö®ÖÖ ÛúÖ ×3⁄4Ö¢Ö ̄ÖÖêÂÖÞÖ 3ÖÖ ̧üŸÖ ÃÖ ̧üÛúÖ ̧ü «üÖ ̧üÖ ×ÛúμÖÖ	लोग आ रहे हैं, उनका प्रयास यह है कि अलग-अलग जगहों पर वे पहुंचें और वे ऐसी
•ÖÖŸÖÖ Æîü... »ÖÝÖ3ÖÝÖ  ̄ÖÖÓ“Ö 3⁄4ÖÂÖÖí Ûêú ×»Ö‹,  ̄ÖêTMÒüÖê»Ö Ûêú ÜÖ“Öì 3Öß ×¤ü‹ •ÖÖ‹ÓÝÖê... Ûêú3⁄4Ö»Ö ˆ®Ö	जगहों पर पहुंचना चाहते हैं, जहां पर आई.टी. इंडस्ट्रीज हैं या नेशनल लेबोरेटरीज हैं
̄Öã×»ÖÃÖÛúÙ ́ÖμÖÖë ÛúÖ 3⁄4ÖêŸÖ®Ö  ̧üÖ•μÖÖë «üÖ ̧üÖ ×¤üμÖÖ •ÖÖ‹ÝÖÖ ×•Ö®ÖÛúÖê 3⁄4ÖÆüÖÓ ŸÖî®ÖÖŸÖ ×ÛúμÖÖ •ÖÖ‹ÝÖÖ...	या ऐसे कुछ इंस्टालेशन्स हैं, जो देश की दृष्टि से महत्वपूर्ण हैं। मैंने यह बात पहले ही
ÁÖß 2ÖÃÖÓŸÖ “Ö3⁄4ÆüÖÞÖ :  ́ÖÆüÖê¤üμÖ,  ́Öê ̧êü  ̄ÖÏ¿®Ö ÛúÖ ˆ¢Ö ̧ü ®ÖÆüà ×¤üμÖÖ ÝÖμÖÖ Æîü...  ́ÖÆüÖê¤üμÖ, μÖÆü	बता दी है। जहां तक इंस्टीट्यूशन का सवाल है, हमारी तरफ से, केन्द्र की तरफ से
2ÖÖ ́2Öê †Öî ̧ü ÛúÖëÛúÞÖ Ûêú ŸÖTMüßμÖ õÖê¡ÖÖë Ûêú 2ÖÖ ̧êü  ́Öë Æîü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	वहां की सरकारों, आंध्र प्रदेश की, तमिलनाडु की और कर्नाटक की सरकारों को यह
